ประทับเวลา,ประเภทของร้านค้า,ราคาขายเฉลี่ยต่อแก้ว (บาท)  / กรอกตัวเลข,ปริมาณที่ขายได้ต่อแก้วในแต่ละวัน / กรอกตัวเลข  *,ลักษณะการซื้อไซรัปของท่าน เป็นแบบใด,ช่วงราคาไซรัปเฉลี่ยต่อขวดที่เหมาะสมอยู่ที่ช่วงใด / ให้เลือก 2 ข้อ ต่ำสุด และราคาสูงสุด หากเลือกอื่นๆ ให้ระบุเป็นตัวเลข,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน,ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [รสชาติ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [กลิ่น],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ราคา],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ขนาดและปริมาณต่อขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความแข็งแรงของขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความเข้มข้น],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [สี],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสะดวกในการใช้ เช่น เท ปั้ม ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสะดวกในการตวง วัด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การบอกขั้นตอนการใช้งาน],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การให้ข้อมูลผลิตภัณฑ์ เช่นส่วนผสม],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [จำนวนวันหมดอายุ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสวยงามของขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การออกแบบกลิ่น/รสใหม่ๆ],ข้อเสนอแนะอื่นๆ  ,เส้นทางสำรวจ,ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ (รสชาติ),,อิทธิพลต่อการตัดสินใจซื้อ [-	PC (พนักงานขาย)],อิทธิพลต่อการตัดสินใจซื้อ [-	ชื่อเสียงของร้านที่ซื้อ],อิทธิพลต่อการตัดสินใจซื้อ [-	บรรจุภัณฑ์สวย],อิทธิพลต่อการตัดสินใจซื้อ [-	ทดลองชิม],อิทธิพลต่อการตัดสินใจซื้อ [-	ป้ายโฆษณา],อิทธิพลต่อการตัดสินใจซื้อ [-	TV],อิทธิพลต่อการตัดสินใจซื้อ [-	social media (3 อันดับ)],อิทธิพลต่อการตัดสินใจซื้อ [-	อินฟลู],อิทธิพลต่อการตัดสินใจซื้อ [-	ลูกค้า (ปากต่อปาก)],อิทธิพลต่อการตัดสินใจซื้อ [PC (พนักงานขาย)],อิทธิพลต่อการตัดสินใจซื้อ [ชื่อเสียงของร้านที่ซื้อ],อิทธิพลต่อการตัดสินใจซื้อ [บรรจุภัณฑ์สวย],อิทธิพลต่อการตัดสินใจซื้อ [ทดลองชิม],อิทธิพลต่อการตัดสินใจซื้อ [ป้ายโฆษณา],อิทธิพลต่อการตัดสินใจซื้อ [TV],อิทธิพลต่อการตัดสินใจซื้อ [social media (3 อันดับ)],อิทธิพลต่อการตัดสินใจซื้อ [อินฟลู],อิทธิพลต่อการตัดสินใจซื้อ [ลูกค้า (ปากต่อปาก)],คำถามไม่ระบุชื่อ
5/6/2024 12:07:55,มีแบรนด์,29-49,150-200,ซื้อเป็นขวด,แกลอยละ150+,ซื้อมางแบน,ไม่ซื้อออฟไลน์เลย,คุ้นเคยกับร้านค้า,"ติ่งฟง, เฮลบูบอย","บรรจุภัณฑ์สวย, ลูกค้า (ปากต่อปาก)",G : Gay  ผู้ชายที่รักผู้ชายด้วยกัน,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 12:21:31,ไม่มีแบรนด์,เมนูโซดา,45-50,ซื้อเป็นขวด,80,ไม่ซื้อ Online เลย,Makro,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก, โปรโมทชั่น (ลด แจก แถม)",ลองบีช,"ทดลองชิม, โฆษณาทาง social media  Facebook, TikTok, IG, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,เพิ่มขึ้น,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 12:38:16,ไม่มีแบรนด์,เมนูโซดา,30-40,ซื้อเป็นขวด,75,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก, คุ้นเคยกับร้านค้า","ติ่งฟง, เฮลบูบอย",ราคาถูกที่สุด,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ขายของในตลาดเน้นความสะดวกและราคาไม่แพงเนื่องจากไม่ได้ซื้อในปริมาณที่เยอะหมดค่อยซื้อ,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 12:52:10,ไม่มีแบรนด์,30-35,10,ซื้อเป็นขวด,75,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก, คุ้นเคยกับร้านค้า","เฟรชชี่, ลองบีช","บรรจุภัณฑ์สวย, ทดลองชิม",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,รสชาติที่ใช้เดิมนี้ดีอยู่แล้วไม่มีความเห็นเพิ่มเติมแต่ราคาอยากให้ถูกลงเพราะจะได้ขายถูกได้,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 13:02:04,ไม่มีแบรนด์,25-40,20,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ไม่ต้องเดินทาง (Online), มีสินค้าให้เลือก, คุ้นเคยกับร้านค้า","เฟรชชี่, ติ่งฟง, เฮลบูบอย","บรรจุภัณฑ์สวย, ป้ายโฆษณา",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 13:08:03,ไม่มีแบรนด์,25-30,10,ซื้อเป็นขวด,70,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก, คุ้นเคยกับร้านค้า","เฟรชชี่, ติ่งฟง, เฮลบูบอย, ลองบีช","ทดลองชิม, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,เพิ่มขึ้น,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,อยากให้ราคาลดลงคิดถึงผู้บริโภคให้มากขึ้น,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 13:19:37,มีแบรนด์,24-29,200,ซื้อยกลัง,"55, 60","Shopee, Lazada","ร้านขายของชำ, ร้านขายอุปกรณ์เบเกอรี่",เดินทางสะดวกร้านใกล้บ้าน,ติ่งฟง,"บรรจุภัณฑ์สวย, อินฟลูเอนเซอร์",B : Bisexual  คนที่รักได้ทั้งชายและหญิง,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 13:39:51,มีแบรนด์,35-40,10,ซื้อเป็นขวด,60,"Shopee, Lazada",ซื้อออนไลน์เท่านั้น,"ไม่ต้องเดินทาง (Online), ราคาถูก, โปรโมทชั่น (ลด แจก แถม)","เฮลบูบอย, ลองบีช, ลิน, มิตรผล",ทดลองชิม,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,เพิ่มขึ้น,ลินน่าจะออกสินค้ามาตั้งนานแล้วเพราะชอบใช้ของลินสีความเข้มรสชาติได้,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 13:52:31,ไม่มีแบรนด์,25-30,15,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก, คุ้นเคยกับร้านค้า",ติ่งฟง,PC (พนักงานขาย),T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่มีอะไรเพิ่มเติม,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 13:58:09,ไม่มีแบรนด์,20-25,10,ซื้อเป็นขวด,60,"ไม่ซื้อ Online เลย, ร้านขายส่ง",ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก, คุ้นเคยกับร้านค้า","เฟรชชี่, ติ่งฟง, เฮลบูบอย",บรรจุภัณฑ์สวย,T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 14:20:39,มีแบรนด์,40,20,ซื้อยกลัง,150,"ไม่ซื้อ Online เลย, ทางร้าน",ทางแบรนด์,"โปรโมทชั่น (ลด แจก แถม), คุ้นเคยกับร้านค้า",ติ่งฟง,ทดลองชิม,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 14:29:13,มีแบรนด์,25,20,ซื้อเป็นขวด,80,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก","ติ่งฟง, ลองบีช","PC (พนักงานขาย), บรรจุภัณฑ์สวย, ทดลองชิม, อินฟลูเอนเซอร์",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,เพิ่มขึ้น,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 15:14:40,ไม่มีแบรนด์,30,10,ซื้อเป็นขวด,50,Makro online,Makro,"ไม่ต้องเดินทาง (Online), ราคาถูก","ติ่งฟง, เฮลบูบอย, ลองบีช","ทดลองชิม, ป้ายโฆษณา, โฆษณาทาง TV, โฆษณาทาง social media  Facebook, TikTok, IG",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 15:28:05,มีแบรนด์,23,10,ซื้อยกลัง,60,Makro online,Makro,"ราคาถูก, เปรียบเทียบราคา, โปรโมทชั่น (ลด แจก แถม), ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","ทดลองชิม, โฆษณาทาง social media  Facebook, TikTok, IG",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,อยากให้กลิ่นเพิ่มขึ้นเพราะเวลาชงกลิ่นจะได้ชัดเจน,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 15:42:29,ไม่มีแบรนด์,25,10,ซื้อเป็นขวด,50,Makro online,Makro,"ไม่ต้องเดินทาง (Online), ราคาถูก, โปรโมทชั่น (ลด แจก แถม)",ติ่งฟง,ทดลองชิม,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 15:56:48,มีแบรนด์,25,10,ซื้อเป็นขวด,70,Makro online,Makro,"ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก, โปรโมทชั่น (ลด แจก แถม)",ติ่งฟง,"PC (พนักงานขาย), บรรจุภัณฑ์สวย, ทดลองชิม",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 16:06:59,ไม่มีแบรนด์,30,10,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,Makro,"เดินทางสะดวกร้านใกล้บ้าน, มีสินค้าให้เลือก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม",ติ่งฟง,ไม่สนใจ,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 16:23:36,ไม่มีแบรนด์,30-45,5,ซื้อเป็นขวด,65,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ราคาถูก, มีสินค้าให้เลือก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","ทดลองชิม, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 16:34:56,ไม่มีแบรนด์,45,10,ซื้อเป็นขวด,60,"ไม่ซื้อ Online เลย, ติ๊กต๊อก","Makro, ร้านขายอุปกรณ์เบเกอรี่","เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, โปรโมทชั่น (ลด แจก แถม)","ติ่งฟง, เฮลบูบอย, ลองบีช","พรีเซนเตอร์, ทดลองชิม, โฆษณาทาง social media  Facebook, TikTok, IG",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ลดลง,ลดลง,ลดลง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ต้องการให้ทำสื่อโฆษณาช่วยร้านโฆษณา,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/6/2024 16:47:41,ไม่มีแบรนด์,19,20,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,Makro,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย, ลองบีช","ทดลองชิม, โฆษณาทาง social media  Facebook, TikTok, IG",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,1 สีลม บางรัก สาทร,,,,,,,,,,,,,,,,,,,,,
5/7/2024 11:57:12,ไม่มีแบรนด์,25,10,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,"Makro, ร้านขายอุปกรณ์เบเกอรี่","เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย, ลองบีช",ทดลองชิม,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
